,RGB1,RGB2,RGB3,RGB4
Sip of Orange,"rgb(86, 88, 25)","rgb(255, 130, 16)","rgb(251, 200, 88)","rgb(180, 248, 200)"
Rosy Flamingo,"rgb(103, 89, 94)","rgb(164, 147, 147)","rgb(238, 214, 211)","rgb(232, 180, 184)"
Cotton Dandelions,"rgb(63, 65, 34)","rgb(83, 111, 22)","rgb(212, 214, 207)","rgb(1, 58, 32)"
Calming View,"rgb(29, 179, 192)","rgb(49, 204, 224)","rgb(77, 221, 224)","rgb(213, 213, 192)"
Varsity Track,"rgb(0, 134, 172)","rgb(17, 129, 200)","rgb(242, 240, 252)","rgb(255, 0, 0)"
Calm Perspective,"rgb(150, 161, 168)","rgb(0, 224, 234)","rgb(0, 187, 209)","rgb(252, 248, 246)"
Towering Over,"rgb(255, 213, 61)","rgb(64, 176, 223)","rgb(0, 103, 179)","rgb(0, 0, 163)"
Solitary Pineapple,"rgb(65, 72, 60)","rgb(252, 201, 49)","rgb(204, 216, 199)","rgb(238, 238, 238)"
Dark Road Curve,"rgb(177, 177, 177)","rgb(116, 116, 116)","rgb(68, 68, 68)","rgb(10, 7, 8)"
Rocks and Barefoot,"rgb(189, 195, 203)","rgb(204, 175, 165)","rgb(220, 210, 204)","rgb(237, 231, 220)"
Ube Delight,"rgb(209, 141, 150)","rgb(52, 88, 110)","rgb(223, 177, 96)","rgb(110, 53, 98)"
Meringues and Tea,"rgb(243, 219, 178)","rgb(244, 198, 212)","rgb(239, 234, 228)","rgb(187, 167, 140)"
Shopping Spree,"rgb(38, 223, 208)","rgb(184, 238, 48)","rgb(246, 42, 160)","rgb(249, 208, 48)"
Peaceful Cottage Path,"rgb(229, 215, 190)","rgb(65, 71, 84)","rgb(130, 128, 127)","rgb(227, 232, 240)"
Hand in Hand,"rgb(213, 182, 144)","rgb(243, 237, 224)","rgb(203, 215, 208)","rgb(184, 51, 48)"
Denim Clad Shutterbug,"rgb(225, 0, 50)","rgb(219, 232, 225)","rgb(3, 70, 135)","rgb(21, 27, 37)"
Cupcake Delight,"rgb(169, 27, 96)","rgb(255, 0, 128)","rgb(236, 158, 192)","rgb(235, 224, 208)"
Green Lemons,"rgb(1, 58, 32)","rgb(71, 140, 92)","rgb(186, 204, 129)","rgb(205, 209, 147)"
Painting with Pastels,"rgb(245, 130, 168)","rgb(252, 192, 197)","rgb(160, 224, 228)","rgb(242, 230, 214)"
Grained Memories,"rgb(135, 63, 73)","rgb(245, 245, 233)","rgb(11, 28, 71)","rgb(4, 10, 24)"
Candy-frosted Doughnuts,"rgb(252, 185, 181)","rgb(181, 238, 203)","rgb(235, 220, 199)","rgb(148, 223, 230)"
Sea Breeze,"rgb(199, 249, 84)","rgb(161, 247, 161)","rgb(20, 194, 221)","rgb(87, 221, 243)"
Secret Passageway,"rgb(178, 210, 164)","rgb(26, 67, 20)","rgb(44, 94, 26)","rgb(50, 205, 48)"
Picked Pineapple,"rgb(9, 10, 14)","rgb(82, 88, 77)","rgb(154, 177, 154)","rgb(217, 193, 187)"
Colorful Powder Cracks,"rgb(5, 8, 51)","rgb(0, 190, 197)","rgb(255, 11, 172)","rgb(84, 8, 107)"
Birthday Cake,"rgb(187, 213, 210)","rgb(93, 217, 251)","rgb(255, 194, 199)","rgb(251, 223, 160)"
Cool Berry Scoop,"rgb(130, 29, 48)","rgb(252, 60, 128)","rgb(247, 214, 208)","rgb(255, 163, 184)"
Nice Day Out,"rgb(225, 195, 64)","rgb(183, 147, 77)","rgb(248, 249, 240)","rgb(201, 222, 240)"
Purple Fabric,"rgb(40, 28, 45)","rgb(129, 85, 186)","rgb(105, 94, 147)","rgb(190, 175, 194)"
Neon Pop,"rgb(234, 197, 176)","rgb(67, 221, 226)","rgb(245, 12, 160)","rgb(249, 249, 64)"
Glorious Outback,"rgb(255, 163, 3)","rgb(162, 171, 206)","rgb(255, 74, 56)","rgb(255, 224, 174)"
Cool Cream Strawberry,"rgb(233, 234, 224)","rgb(247, 190, 192)","rgb(200, 82, 80)","rgb(231, 98, 95)"
Earth Hands,"rgb(170, 161, 160)","rgb(141, 137, 96)","rgb(203, 152, 112)","rgb(79, 55, 80)"
Easter Egg Nest,"rgb(239, 241, 219)","rgb(255, 212, 219)","rgb(211, 181, 229)","rgb(187, 231, 254)"
Purple Tinged Florals,"rgb(181, 179, 202)","rgb(161, 106, 232)","rgb(71, 113, 88)","rgb(0, 8, 0)"
Shopaholic Babe,"rgb(245, 46, 192)","rgb(34, 202, 224)","rgb(255, 255, 0)","rgb(255, 197, 208)"
Bare Beauty,"rgb(31, 53, 65)","rgb(82, 137, 181)","rgb(175, 216, 242)","rgb(237, 242, 243)"
Rainbow Doughnuts,"rgb(168, 225, 12)","rgb(138, 111, 223)","rgb(255, 219, 21)","rgb(255, 87, 101)"
