index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y
Page_1_41,40,https://ak1.ostkcdn.com/images/products/10071922/L17215880.jpg?imwidth=480&impolicy=medium,"Rgb(r=247, g=245, b=243)",0.524126839707569,"Rgb(r=177, g=161, b=141)",0.475873160292431
Page_1_42,41,https://ak1.ostkcdn.com/images/products/5643393/L13396315.jpg?imwidth=480&impolicy=medium,"Rgb(r=6, g=23, b=11)",0.7494393842916863,"Rgb(r=252, g=252, b=252)",0.2505606157083137
Page_1_43,42,https://ak1.ostkcdn.com/images/products/20301061/L26178831.jpg?imwidth=480&impolicy=medium,"Rgb(r=28, g=35, b=53)",0.6075060532687652,"Rgb(r=85, g=85, b=94)",0.3924939467312349
Page_1_44,43,https://ak1.ostkcdn.com/images/products/12273665/L19112598.jpg?imwidth=480&impolicy=medium,"Rgb(r=234, g=223, b=216)",0.5550047872404892,"Rgb(r=199, g=162, b=123)",0.44499521275951087
Page_1_45,44,https://ak1.ostkcdn.com/images/products/20248183/L26132546.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.798830433327185,"Rgb(r=156, g=151, b=155)",0.2011695666728151
Page_1_46,45,https://ak1.ostkcdn.com/images/products/25581352/L30895225.jpg?imwidth=480&impolicy=medium,"Rgb(r=226, g=218, b=208)",0.7992777626934564,"Rgb(r=187, g=164, b=128)",0.20072223730654357
Page_1_47,46,https://ak1.ostkcdn.com/images/products/12731301/L19510036.jpg?imwidth=480&impolicy=medium,"Rgb(r=168, g=164, b=157)",0.6338469047770633,"Rgb(r=219, g=223, b=227)",0.3661530952229367
Page_1_48,47,https://ak1.ostkcdn.com/images/products/10508468/L17588061.jpg?imwidth=480&impolicy=medium,"Rgb(r=238, g=235, b=232)",0.6960075041240337,"Rgb(r=174, g=161, b=151)",0.30399249587596633
Page_1_49,48,https://ak1.ostkcdn.com/images/products/22841498/L28422869.jpg?imwidth=480&impolicy=medium,"Rgb(r=252, g=250, b=246)",0.8032788382500685,"Rgb(r=128, g=84, b=53)",0.1967211617499315
Page_1_50,49,https://ak1.ostkcdn.com/images/products/10356558/L17464852.jpg?imwidth=480&impolicy=medium,"Rgb(r=172, g=179, b=112)",0.7461438362106358,"Rgb(r=253, g=253, b=251)",0.2538561637893641
Page_1_51,50,https://ak1.ostkcdn.com/images/products/22719644/L28318229.jpg?imwidth=480&impolicy=medium,"Rgb(r=230, g=225, b=214)",0.6083601942738796,"Rgb(r=182, g=172, b=154)",0.3916398057261205
Page_1_52,51,https://ak1.ostkcdn.com/images/products/11673523/L18601528.jpg?imwidth=480&impolicy=medium,"Rgb(r=177, g=164, b=147)",0.7986863711001642,"Rgb(r=240, g=238, b=235)",0.20131362889983578
Page_1_53,52,https://ak1.ostkcdn.com/images/products/5643375/L13396308.jpg?imwidth=480&impolicy=medium,"Rgb(r=137, g=17, b=24)",0.7287120910005886,"Rgb(r=252, g=252, b=252)",0.2712879089994113
Page_1_54,53,https://ak1.ostkcdn.com/images/products/22670958/L28275813.jpg?imwidth=480&impolicy=medium,"Rgb(r=165, g=161, b=154)",0.5615058671785648,"Rgb(r=231, g=227, b=223)",0.43849413282143523
Page_1_55,54,https://ak1.ostkcdn.com/images/products/20010518/L25921936.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.890500518614967,"Rgb(r=144, g=147, b=145)",0.10949948138503299
Page_1_56,55,https://ak1.ostkcdn.com/images/products/12038006/L18909707.jpg?imwidth=480&impolicy=medium,"Rgb(r=229, g=227, b=220)",0.9925386563436782,"Rgb(r=247, g=245, b=247)",0.0074613436563217336
Page_1_57,56,https://ak1.ostkcdn.com/images/products/2442825/L10672044.jpg?imwidth=480&impolicy=medium,"Rgb(r=173, g=141, b=118)",0.5804293924308532,"Rgb(r=136, g=30, b=29)",0.41957060756914677
Page_1_58,57,https://ak1.ostkcdn.com/images/products/5643403/L13396316.jpg?imwidth=480&impolicy=medium,"Rgb(r=140, g=2, b=14)",0.5581498257625577,"Rgb(r=114, g=1, b=8)",0.44185017423744233
Page_1_59,58,https://ak1.ostkcdn.com/images/products/13578961/L20254177.jpg?imwidth=480&impolicy=medium,"Rgb(r=211, g=204, b=199)",0.5600135187331016,"Rgb(r=187, g=173, b=162)",0.43998648126689843
Page_1_60,59,https://ak1.ostkcdn.com/images/products/8698434/L15950059.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.762407095160122,"Rgb(r=40, g=123, b=142)",0.23759290483987802
Page_2_1,0,https://ak1.ostkcdn.com/images/products/13573358/L20247994.jpg?imwidth=480&impolicy=medium,"Rgb(r=226, g=221, b=217)",0.6798905335490701,"Rgb(r=122, g=172, b=165)",0.32010946645092986
Page_2_2,1,https://ak1.ostkcdn.com/images/products/8569286/L15844344.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6021704798997375,"Rgb(r=35, g=124, b=142)",0.39782952010026246
Page_2_3,2,https://ak1.ostkcdn.com/images/products/7910563/L15289322.jpg?imwidth=480&impolicy=medium,"Rgb(r=131, g=96, b=54)",0.5488055992793007,"Rgb(r=254, g=254, b=254)",0.45119440072069933
Page_2_4,3,https://ak1.ostkcdn.com/images/products/20010459/L25921932.jpg?imwidth=480&impolicy=medium,"Rgb(r=251, g=251, b=251)",0.7110736089740408,"Rgb(r=151, g=151, b=151)",0.2889263910259592
