index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y,location-on-pltt,match1,match2,match3,palette_name,position_on_pltt
Page_1_41,40,https://ak1.ostkcdn.com/images/products/10071922/L17215880.jpg?imwidth=480&impolicy=medium,"(247, 245, 243)",0.5241268397075689,"(177, 161, 141)",0.47587316029243104,"[1756, 3]",687,1721,1215,Afternoon Fast Break,3
Page_1_42,41,https://ak1.ostkcdn.com/images/products/5643393/L13396315.jpg?imwidth=480&impolicy=medium,"(6, 23, 11)",0.7494393842916863,"(252, 252, 252)",0.2505606157083137,"[1860, 0]",1667,36,392,Summer Foliage,0
Page_1_43,42,https://ak1.ostkcdn.com/images/products/20301061/L26178831.jpg?imwidth=480&impolicy=medium,"(28, 35, 53)",0.6075060532687652,"(85, 85, 94)",0.3924939467312349,"[1478, 0]",105,455,646,Lacey Style,0
Page_1_44,43,https://ak1.ostkcdn.com/images/products/12273665/L19112598.jpg?imwidth=480&impolicy=medium,"(234, 223, 216)",0.5550047872404892,"(199, 162, 123)",0.4449952127595109,"[2166, 1]",1865,1509,936,Ready for Takeoff,1
Page_1_45,44,https://ak1.ostkcdn.com/images/products/20248183/L26132546.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.7988304333271851,"(156, 151, 155)",0.2011695666728151,"[684, 0]",1352,455,161,Morning Sun,0
Page_1_46,45,https://ak1.ostkcdn.com/images/products/25581352/L30895225.jpg?imwidth=480&impolicy=medium,"(226, 218, 208)",0.7992777626934564,"(187, 164, 128)",0.2007222373065436,"[2859, 3]",828,1015,1770,Railway Sunshine,3
Page_1_47,46,https://ak1.ostkcdn.com/images/products/12731301/L19510036.jpg?imwidth=480&impolicy=medium,"(168, 164, 157)",0.6338469047770633,"(219, 223, 227)",0.3661530952229367,"[1449, 2]",1583,254,1290,House on Water,2
Page_1_48,47,https://ak1.ostkcdn.com/images/products/10508468/L17588061.jpg?imwidth=480&impolicy=medium,"(238, 235, 232)",0.6960075041240337,"(174, 161, 151)",0.30399249587596633,"[764, 1]",919,1516,175,Into the Lush,1
Page_1_49,48,https://ak1.ostkcdn.com/images/products/22841498/L28422869.jpg?imwidth=480&impolicy=medium,"(252, 250, 246)",0.8032788382500685,"(128, 84, 53)",0.1967211617499315,"[1217, 2]",319,1352,945,Summer Backyard,2
Page_1_50,49,https://ak1.ostkcdn.com/images/products/10356558/L17464852.jpg?imwidth=480&impolicy=medium,"(172, 179, 112)",0.7461438362106358,"(253, 253, 251)",0.2538561637893641,"[2759, 2]",1539,1526,435,Sweet Corn Road,2
Page_1_51,50,https://ak1.ostkcdn.com/images/products/22719644/L28318229.jpg?imwidth=480&impolicy=medium,"(230, 225, 214)",0.6083601942738796,"(182, 172, 154)",0.3916398057261205,"[2969, 3]",847,1029,1352,Flower Girl,3
Page_1_52,51,https://ak1.ostkcdn.com/images/products/11673523/L18601528.jpg?imwidth=480&impolicy=medium,"(177, 164, 147)",0.7986863711001642,"(240, 238, 235)",0.20131362889983576,"[902, 0]",240,1474,1232,For Good Luck,0
Page_1_53,52,https://ak1.ostkcdn.com/images/products/5643375/L13396308.jpg?imwidth=480&impolicy=medium,"(137, 17, 24)",0.7287120910005886,"(252, 252, 252)",0.2712879089994113,"[814, 2]",1239,5,1066,Cherry Snack,2
Page_1_54,53,https://ak1.ostkcdn.com/images/products/22670958/L28275813.jpg?imwidth=480&impolicy=medium,"(165, 161, 154)",0.5615058671785648,"(231, 227, 223)",0.4384941328214352,"[2237, 2]",1516,381,1212,Happy Cactus,2
Page_1_55,54,https://ak1.ostkcdn.com/images/products/20010518/L25921936.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.890500518614967,"(144, 147, 145)",0.109499481385033,"[684, 0]",1213,1210,1532,Morning Sun,0
Page_1_56,55,https://ak1.ostkcdn.com/images/products/12038006/L18909707.jpg?imwidth=480&impolicy=medium,"(229, 227, 220)",0.9925386563436782,"(247, 245, 247)",0.007461343656321733,"[1615, 1]",1058,1313,907,Bottom's Up,1
Page_1_57,56,https://ak1.ostkcdn.com/images/products/2442825/L10672044.jpg?imwidth=480&impolicy=medium,"(173, 141, 118)",0.5804293924308532,"(136, 30, 29)",0.4195706075691468,"[716, 0]",1352,1352,920,Middle of Nowhere,0
Page_1_58,57,https://ak1.ostkcdn.com/images/products/5643403/L13396316.jpg?imwidth=480&impolicy=medium,"(140, 2, 14)",0.5581498257625577,"(114, 1, 8)",0.4418501742374423,"[1731, 3]",1404,1448,1818,Spring Blossoming,3
Page_1_59,58,https://ak1.ostkcdn.com/images/products/13578961/L20254177.jpg?imwidth=480&impolicy=medium,"(211, 204, 199)",0.5600135187331016,"(187, 173, 162)",0.4399864812668984,"[945, 2]",56,1202,605,Sliver of Nature,2
Page_1_60,59,https://ak1.ostkcdn.com/images/products/8698434/L15950059.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.7624070951601221,"(40, 123, 142)",0.237592904839878,"[684, 0]",441,1318,203,Morning Sun,0
Page_2_1,0,https://ak1.ostkcdn.com/images/products/13573358/L20247994.jpg?imwidth=480&impolicy=medium,"(226, 221, 217)",0.6798905335490701,"(122, 172, 165)",0.32010946645092986,"[1349, 2]",970,26,101,Stone Castle Blissful,2
Page_2_2,1,https://ak1.ostkcdn.com/images/products/8569286/L15844344.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6021704798997375,"(35, 124, 142)",0.3978295201002625,"[684, 0]",889,948,577,Morning Sun,0
Page_2_3,2,https://ak1.ostkcdn.com/images/products/7910563/L15289322.jpg?imwidth=480&impolicy=medium,"(131, 96, 54)",0.5488055992793007,"(254, 254, 254)",0.4511944007206993,"[1592, 1]",1352,1352,400,Spices and Herbs,1
Page_2_4,3,https://ak1.ostkcdn.com/images/products/20010459/L25921932.jpg?imwidth=480&impolicy=medium,"(251, 251, 251)",0.7110736089740408,"(151, 151, 151)",0.2889263910259592,"[342, 1]",1748,110,1226,Style and Grace,1
Page_2_5,4,https://ak1.ostkcdn.com/images/products/25603796/L30915172.jpg?imwidth=480&impolicy=medium,"(165, 159, 156)",0.645847523716449,"(208, 206, 205)",0.354152476283551,"[1312, 3]",400,1153,1587,Sun-kissed Embrace,3
Page_2_6,5,https://ak1.ostkcdn.com/images/products/12778658/L19552162.jpg?imwidth=480&impolicy=medium,"(225, 218, 211)",0.774539709122083,"(230, 227, 229)",0.225460290877917,"[1487, 2]",1642,1516,1679,Feline Fall,2
Page_2_7,6,https://ak1.ostkcdn.com/images/products/9940157/L17095185.jpg?imwidth=480&impolicy=medium,"(177, 1, 13)",0.6222188253677094,"(169, 86, 47)",0.3777811746322905,"[1940, 3]",105,441,479,Fresh Apples,3
Page_2_8,7,https://ak1.ostkcdn.com/images/products/12858776/L19621039.jpg?imwidth=480&impolicy=medium,"(230, 226, 221)",0.8185152461576395,"(182, 175, 163)",0.18148475384236049,"[2494, 2]",123,326,381,Mountain Ridge,2
Page_2_9,8,https://ak1.ostkcdn.com/images/products/5643371/73/785/Black-Microsuede-Feather-and-Down-Filled-Throw-Pillows-Set-of-2-L13396289.jpg?imwidth=480&impolicy=medium,"(37, 33, 44)",0.7096447032650658,"(252, 252, 252)",0.2903552967349343,"[1183, 3]",1404,630,110,Warm Gatherings,3
Page_2_10,9,https://ak1.ostkcdn.com/images/products/22538235/L28158222.jpg?imwidth=480&impolicy=medium,"(213, 161, 101)",0.5092945317774135,"(219, 206, 196)",0.4907054682225866,"[2747, 0]",717,1153,381,Golden Rain,0
Page_2_11,10,https://ak1.ostkcdn.com/images/products/7942863/7942863/Avanti-Pecan-Kidney-Decorative-Pillow-L15317278.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.7392841763975785,"(98, 76, 71)",0.2607158236024215,"[684, 0]",479,955,1055,Morning Sun,0
Page_2_12,11,https://ak1.ostkcdn.com/images/products/9551275/L16732083.jpg?imwidth=480&impolicy=medium,"(97, 96, 56)",0.5153450066041799,"(74, 74, 39)",0.48465499339582,"[2374, 0]",1667,173,1449,Countryside Blooms,0
Page_2_13,12,https://ak1.ostkcdn.com/images/products/8557479/L15834598.jpg?imwidth=480&impolicy=medium,"(254, 254, 253)",0.5724270497777987,"(132, 105, 75)",0.4275729502222013,"[3063, 1]",1516,1538,187,Rustic Bridal Bouquet,1
