,dn_crop,dn_order,box_order,class_name,class_id,image,index_image,crop_width,crop_height,crop_area,left_x,top_y,width,height,deviation-score,centerness-score,RGB_x,Proportion_x,RGB_y,Proportion_y,palette_name,position_on_pltt,match1,match2,match3,RGB_x_hex
1498,img_1520_2952_560_Animal.jpg.jpg,1520,2952,Animal,560,Pillow_select/Page_9_22.jpg,Page_9_22,479,332,159028,-10,47,493,332,0.654403475462708,264.7512983915282,"Rgb(r=23, g=33, b=56)",0.6428149406399438,"Rgb(r=247, g=247, b=247)",0.3571850593600561,Sea Tide,3,1484,146,1229,#172138
1499,img_1521_2953_432_Clothing.jpg.jpg,1521,2953,Clothing,432,Pillow_select/Page_9_23.jpg,Page_9_23,479,445,213155,-14,19,506,445,0.6615095829059571,313.9000637145523,"Rgb(r=25, g=26, b=31)",0.5989271694340819,"Rgb(r=254, g=254, b=254)",0.40107283056591814,Calming Fires,1,1214,609,633,#191a1f
1500,img_1522_2954_465_Furniture.jpg.jpg,1522,2954,Furniture,465,Pillow_select/Page_9_24.jpg,Page_9_24,395,303,119685,40,109,395,303,0.6974101494620435,241.27266732889572,"Rgb(r=52, g=77, b=114)",0.6117760839589398,"Rgb(r=254, g=254, b=254)",0.3882239160410602,Plaid Pair,0,737,950,397,#344d72
1501,img_1523_2956_465_Furniture.jpg.jpg,1523,2956,Furniture,465,Pillow_select/Page_9_26.jpg,Page_9_26,477,341,162657,-21,59,517,319,0.6350258923715018,257.8885418160334,"Rgb(r=91, g=95, b=104)",0.5797825122059477,"Rgb(r=230, g=230, b=227)",0.4202174877940524,Boardroom Fruit,1,324,1429,950,#5b5f68
1502,img_1524_2958_465_Furniture.jpg.jpg,1524,2958,Furniture,465,Pillow_select/Page_9_27.jpg,Page_9_27,479,316,151364,-10,107,504,316,0.6197159592933955,247.315587862957,"Rgb(r=117, g=107, b=71)",0.5266895676200433,"Rgb(r=254, g=254, b=254)",0.4733104323799567,Pistachio and Almond,3,444,528,674,#756b47
1503,img_1525_2960_192_Food.jpg.jpg,1525,2960,Food,192,Pillow_select/Page_9_28.jpg,Page_9_28,382,359,137138,51,55,381,360,0.7342556138725489,271.9324364617064,"Rgb(r=205, g=167, b=104)",0.7013245769306414,"Rgb(r=253, g=253, b=251)",0.29867542306935857,After Dark Funhouse,3,882,340,489,#cda768
1504,img_1526_2962_465_Furniture.jpg.jpg,1526,2962,Furniture,465,Pillow_select/Page_9_29.jpg,Page_9_29,477,400,190800,2,40,478,400,0.6615603781146611,289.2766841624122,"Rgb(r=254, g=253, b=253)",0.8577507598784194,"Rgb(r=174, g=158, b=131)",0.14224924012158055,Sushi Heaven,1,912,420,436,#fefdfd
1505,img_1527_2965_432_Clothing.jpg.jpg,1527,2965,Clothing,432,Pillow_select/Page_9_30.jpg,Page_9_30,470,450,211500,3,11,470,450,0.6959524996698341,320.0624938976762,"Rgb(r=234, g=225, b=209)",0.8171717434921959,"Rgb(r=188, g=172, b=143)",0.18282825650780415,Breakfast is Served,3,244,471,674,#eae1d1
1506,img_1528_2966_93_Computer keyboard.jpg.jpg,1528,2966,Computer keyboard,93,Pillow_select/Page_9_31.jpg,Page_9_31,458,479,219382,11,-8,457,491,0.7362208574591887,348.74417557860374,"Rgb(r=250, g=246, b=243)",0.646094842058681,"Rgb(r=118, g=94, b=78)",0.35390515794131905,Bamboo Beach,3,134,737,115,#faf6f3
1507,img_1529_2970_68_Person.jpg.jpg,1529,2970,Person,68,Pillow_select/Page_9_32.jpg,Page_9_32,426,437,186162,8,20,426,437,0.6884861836235757,297.0576543366624,"Rgb(r=101, g=95, b=98)",0.5051248407401069,"Rgb(r=253, g=253, b=253)",0.4948751592598931,Grey Horizon,0,81,1170,775,#655f62
1508,img_1530_2972_432_Clothing.jpg.jpg,1530,2972,Clothing,432,Pillow_select/Page_9_33.jpg,Page_9_33,434,258,111972,23,92,434,258,0.7257000680161249,242.83533515532704,"Rgb(r=254, g=254, b=252)",0.5394633396000683,"Rgb(r=167, g=149, b=17)",0.46053666039993163,Rustic Bridal Bouquet,1,83,320,7,#fefefc
1509,img_1531_2974_432_Clothing.jpg.jpg,1531,2974,Clothing,432,Pillow_select/Page_9_34.jpg,Page_9_34,447,317,141699,15,86,447,317,0.6622119140327647,249.2759515075612,"Rgb(r=208, g=175, b=30)",0.5455660647750071,"Rgb(r=222, g=190, b=41)",0.4544339352249928,Petals of Sunshine,1,1056,592,793,#d0af1e
1510,img_1532_2980_465_Furniture.jpg.jpg,1532,2980,Furniture,465,Pillow_select/Page_9_35.jpg,Page_9_35,460,343,157780,10,45,460,344,0.6825917494821278,271.53084539329967,"Rgb(r=254, g=254, b=254)",0.5711405605040191,"Rgb(r=98, g=74, b=44)",0.4288594394959809,Morning Sun,0,901,1019,1107,#fefefe
1511,img_1533_2982_560_Animal.jpg.jpg,1533,2982,Animal,560,Pillow_select/Page_9_37.jpg,Page_9_37,479,445,213155,-12,16,506,444,0.6688874008523786,317.04416096184457,"Rgb(r=171, g=169, b=170)",0.5870052227876713,"Rgb(r=166, g=164, b=162)",0.41299477721232875,Cuddle Weather,3,174,161,764,#aba9aa
